Hotel Name,Hotel Price,Hotel Score
Manhattan Bowery Lodge,"$11,000",5.9
Jazz on the Park Youth Hostel,"$13,831",5.6
"The Paul Hotel NYC-Chelsea, Ascend Hotel Collection","$15,918",7.1
Hotel Henny,"$16,025",5.1
Night Hotel Broadway,"$16,764",6.0
Row NYC at Times Square,"$16,987",6.9
Jazz on Columbus Circle Hostel,"$17,123",7.4
The Manhattan at Times Square,"$19,631",6.0
Sheraton New York Times Square Hotel,"$19,755",7.6
Pod Times Square,"$20,107",8.3
Courtyard by Marriott New York Manhattan/Chelsea,"$20,401",8.4
Edge Hotel Washington Heights,"$20,455",8.1
U Hotel Fifth Avenue I Empire State Building,"$20,678",8.0
Pod 39,"$20,688",8.1
Hyatt Grand Central New York,"$20,766",7.5
OYO Times Square,"$20,804",6.9
The Westin New York at Times Square,"$21,517",8.0
Econo Lodge Times Square,"$21,541",6.1
Fairfield Inn by Marriott New York Manhattan/Financial District,"$22,125",7.7
World Center Hotel,"$22,265",8.5
New York Marriott Marquis,"$22,275",8.2
"voco Times Square South, an IHG Hotel","$22,345",7.7
Courtyard New York Downtown Manhattan/Financial District,"$22,370",7.2
SoHo 54,"$22,523",7.2
Courtyard New York Manhattan/Midtown East,"$22,725",8.3
